;(,urgh
;),haha
:(,ugh
:),haha
:b,haha
admin pm,pray to the gods
ahelp,pray to the gods
mhelp,ask an angel
admeme,god
admins,gods
afk,i am busy
brb,be right back
cuck,weakling
dope,nice
faggot,nancy boy
feminazi,woman
Fortnite,game
fuk,fuck
gamer,brother
gamergirl,woman
gamers rise up,brothers let's fight
gtg,i have to go
g2g,i have to go
idc,I don't care
idfk,I don't know
idgaf,I don't give a fuck
idk,I don't know
incel,weakling
joker 2019,clown
lmao,hahaha
lol,hahaha
mfw,oh boy
Minecraft,game
noob,newbie
omg,oh my god
OwO,hmm
UwU,hmm
pm the admins,pray to the gods
roblox,game
rofl,hahaha
smh,oh boy
SS13,game
unbased,that's stupid
wdym,what do you mean
wtf,what the fuck
yeet,throw
